=== 延迟检测日志 | 2026-03-25 14:28:59.902475 ===
[2026-03-25 14:28:59.903] [TCP预检开始] 节点总数=5147 | 并发=300
[2026-03-25 14:29:00.104] [TCP预检] ✅ 通过 | 172.64.229.85:443 | US_434a6_0040
[2026-03-25 14:29:00.105] [TCP预检] ✅ 通过 | 172.64.156.0:443 | US_434a6_0056
[2026-03-25 14:29:00.107] [TCP预检] ✅ 通过 | 104.17.155.101:443 | US_434a6_0055
[2026-03-25 14:29:00.110] [TCP预检] ✅ 通过 | 172.64.229.165:443 | US_434a6_0047
[2026-03-25 14:29:00.110] [TCP预检] ✅ 通过 | 139.196.41.153:443 | 🇨🇳_CN_中国->🇺🇸_US_美国
[2026-03-25 14:29:00.111] [TCP预检] ✅ 通过 | 185.151.146.40:443 | SG_434a6_0034
[2026-03-25 14:29:00.112] [TCP预检] ✅ 通过 | 47.242.145.136:8001 | 🇭🇰HK香港
[2026-03-25 14:29:00.112] [TCP预检] ✅ 通过 | 121.174.43.148:12345 | KR_434a6_0020
[2026-03-25 14:29:00.112] [TCP预检] ✅ 通过 | 211.193.169.223:37810 | KR_434a6_0019
[2026-03-25 14:29:00.113] [TCP预检] ✅ 通过 | 175.199.169.221:50006 | KR_434a6_0024
[2026-03-25 14:29:00.114] [TCP预检] ✅ 通过 | 121.152.61.147:11371 | KR_434a6_0025
[2026-03-25 14:29:00.114] [TCP预检] ✅ 通过 | 8.223.63.150:443 | 香港節點
[2026-03-25 14:29:00.116] [TCP预检] ✅ 通过 | 106.251.70.75:10162 | KR_434a6_0023
[2026-03-25 14:29:00.117] [TCP预检] ✅ 通过 | 58.152.25.253:443 | 🇨🇳_CN_中国_1
[2026-03-25 14:29:00.117] [TCP预检] ✅ 通过 | 222.113.18.207:16993 | KR_434a6_0022
[2026-03-25 14:29:00.119] [TCP预检] ✅ 通过 | 85.237.206.249:443 | TW_434a6_0036
[2026-03-25 14:29:00.120] [TCP预检] ✅ 通过 | 114.33.57.170:443 | 🇨🇳TW臺灣節點
[2026-03-25 14:29:00.132] [TCP预检] ✅ 通过 | 103.241.62.245:443 | 🇸🇬SG新加坡
[2026-03-25 14:29:00.135] [TCP预检] ✅ 通过 | 155.248.181.189:443 | 🇯🇵JP日本
[2026-03-25 14:29:00.148] [TCP预检] ✅ 通过 | 192.0.54.225:443 | US_434a6_0052
[2026-03-25 14:29:00.149] [TCP预检] ✅ 通过 | 192.0.63.230:443 | US_434a6_0050
[2026-03-25 14:29:00.156] [TCP预检] ✅ 通过 | 151.242.74.249:443 | 伊朗
[2026-03-25 14:29:00.156] [TCP预检] ✅ 通过 | 192.0.63.134:443 | US_434a6_0053
[2026-03-25 14:29:00.161] [TCP预检] ✅ 通过 | 172.104.143.156:443 | 德國
[2026-03-25 14:29:00.161] [TCP预检] ✅ 通过 | 192.0.54.188:443 | US_434a6_0054
[2026-03-25 14:29:00.163] [TCP预检] ✅ 通过 | 192.0.63.56:443 | US_434a6_0051
[2026-03-25 14:29:00.164] [TCP预检] ✅ 通过 | 20.235.105.146:443 | 🇮🇳IN印度
[2026-03-25 14:29:00.165] [TCP预检] ✅ 通过 | 192.0.54.131:443 | US_434a6_0049
[2026-03-25 14:29:00.165] [TCP预检] ✅ 通过 | 59.24.1.109:50001 | 🇰🇷KR韓國
[2026-03-25 14:29:00.167] [TCP预检] ✅ 通过 | 139.144.77.162:443 | 🇩🇪DE德國_1
[2026-03-25 14:29:00.169] [TCP预检] ✅ 通过 | 89.116.88.19:443 | 🇯🇵JP_2
[2026-03-25 14:29:00.172] [TCP预检] ✅ 通过 | 192.200.160.20:443 | US_434a6_0070
[2026-03-25 14:29:00.173] [TCP预检] ✅ 通过 | 125.227.233.197:2053 | 臺灣
[2026-03-25 14:29:00.178] [TCP预检] ✅ 通过 | 167.235.149.67:443 | 🇩🇪DE德國
[2026-03-25 14:29:00.185] [TCP预检] ✅ 通过 | 43.160.248.66:8443 | 🇦🇺_AU_澳大利亚->🇸🇬_SG_新加坡
[2026-03-25 14:29:00.191] [TCP预检] ✅ 通过 | 162.159.38.78:443 | US_434a6_0043
[2026-03-25 14:29:00.192] [TCP预检] ✅ 通过 | 139.162.150.12:443 | 🇩🇪DE_6
[2026-03-25 14:29:00.194] [TCP预检] ✅ 通过 | 162.159.7.2:443 | US_434a6_0046
[2026-03-25 14:29:00.196] [TCP预检] ✅ 通过 | 193.9.49.65:443 | RU_434a6_0033
[2026-03-25 14:29:00.199] [TCP预检] ✅ 通过 | 203.168.131.110:3389 | HK_434a6_0010
[2026-03-25 14:29:00.200] [TCP预检] ✅ 通过 | 45.40.147.16:443 | 🇺🇸US_297
[2026-03-25 14:29:00.201] [TCP预检] ✅ 通过 | 162.159.24.111:443 | US_434a6_0044
[2026-03-25 14:29:00.201] [TCP预检] ✅ 通过 | 104.238.70.16:443 | 🇺🇸US_美國
[2026-03-25 14:29:00.202] [TCP预检] ✅ 通过 | 77.247.126.137:443 | US_434a6_0065
[2026-03-25 14:29:00.202] [TCP预检] ✅ 通过 | 162.159.44.142:443 | US_434a6_0059
[2026-03-25 14:29:00.204] [TCP预检] ✅ 通过 | 45.77.178.100:443 | 日本節點
[2026-03-25 14:29:00.205] [TCP预检] ✅ 通过 | 116.44.53.251:12126 | 韓國
[2026-03-25 14:29:00.206] [TCP预检] ✅ 通过 | 103.15.90.134:49678 | 🇻🇳VN越南
[2026-03-25 14:29:00.209] [TCP预检] ✅ 通过 | 108.162.195.58:443 | 🇺🇸 美国 | USA 5
[2026-03-25 14:29:00.209] [TCP预检] ✅ 通过 | 188.241.241.3:2053 | 德國_1
[2026-03-25 14:29:00.210] [TCP预检] ✅ 通过 | 50.62.90.16:443 | 🇺🇸US美國節點
[2026-03-25 14:29:00.211] [TCP预检] ✅ 通过 | 172.66.44.230:8443 | 🇷🇺 俄罗斯 | RUS
[2026-03-25 14:29:00.211] [TCP预检] ✅ 通过 | 162.159.48.142:443 | 🇺🇸 美国 | USA 7
[2026-03-25 14:29:00.214] [TCP预检] ✅ 通过 | 50.62.88.16:443 | 🇺🇸US_美國_1
[2026-03-25 14:29:00.215] [TCP预检] ✅ 通过 | 45.40.154.16:443 | 🇺🇸US_290
[2026-03-25 14:29:00.220] [TCP预检] ✅ 通过 | 172.64.52.210:443 | 🇺🇸 美国 | USA
[2026-03-25 14:29:00.221] [TCP预检] ✅ 通过 | 188.114.98.0:2087 | 🇹🇷 土耳其 | TUR
